"YEAR","TRIP_ID","set_no","becket_no","trap_no","SBE39","HOBO","CAM"
2021,86130,7,5,5,1,1,1
2021,86130,7,30,30,1,1,1
2021,86130,7,55,55,1,1,1
2021,86130,14,2,2,1,1,1
2021,86130,14,30,30,1,1,1
2021,86130,14,59,59,1,1,1
2021,86130,27,5,5,1,1,1
2021,86130,27,30,30,1,1,1
2021,86130,27,51,51,1,1,1
2021,86130,63,5,5,1,1,1
2021,86130,63,30,30,1,1,1
2021,86130,63,55,55,1,1,1
