"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Spiny dogfish","SQUALUS ACANTHIAS",1750.25
"Lingcod","OPHIODON ELONGATUS",1061.21
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",928.24
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",239.59
"Grooved Tanner Crab","CHIONOECETES TANNERI",206.08
