"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2021,,,4
2021,,"Dean/Burke Channel",5
2021,"RD1","S1",6
2021,"RD2","S1",8
2021,"RD3","S1",5
2021,"RD1","S2",6
2021,"RD2","S2",7
2021,"RD3","S2",5
2021,"RD1","S3",6
2021,"RD2","S3",6
2021,"RD3","S3",4
2021,"RD1","S4",2
2021,"RD2","S4",3
2021,"RD3","S4",2
2021,"RD1","S5",5
2021,"RD2","S5",4
2021,"RD3","S5",3
