"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",1273,11,0,359,356,260
"NO SET TYPE",7589,0,14,0,14,14
"StRS",39747,71,2,7720,7709,3605
