FID,TRIP_ID,FISHING_EV,FE_MAJOR_L,SLAT,SLON,ELAT,ELON,startX,startY,endX,endY
57,147,126345,58,53.9519,-133.482583,53.95185,-133.505966,205922.404,5987479.129,204388.9934,5987570.998
58,147,126346,59,53.955316,-133.775833,53.956416,-133.796616,186722.8651,5989117.41,185368.8532,5989331.893
59,147,126347,60,53.914116,-133.865516,53.916383,-133.887433,180529.2514,5984939.479,179108.6587,5985290.568
60,147,126398,61,53.7831,-133.4534,53.781683,-133.472066,206655.4909,5968595.218,205416.7818,5968515.086
61,147,126399,62,53.75335,-133.4671,53.751716,-133.485683,205545.2391,5965345.142,204309.5794,5965240.809
62,147,126400,63,53.718416,-133.30495,53.722483,-133.3484,215991.681,5960801.069,213154.5346,5961427.881
63,147,127250,64,53.1396,-132.691116,53.14435,-132.7082,253135.3944,5894166.067,252020.6363,5894753.257
64,147,127251,65,53.071,-132.819983,53.06835,-132.84045,244112.9466,5886991.951,242726.6966,5886770.685
65,147,127252,66,53.075716,-132.739933,53.073733,-132.76075,249500.4647,5887233.172,248095.1203,5887085.746
66,147,127253,67,53.1155,-132.6599,53.104066,-132.65965,255085.2358,5891379.353,255036.9295,5890107.261
67,147,127254,68,53.062266,-132.637983,53.062266,-132.6608,256250.45,5885385.965,254722.2584,5885463.871
68,147,127255,69,52.992333,-132.5301,52.992233,-132.552683,263092.9509,5877248.798,261577.3754,5877312.554
69,147,127256,70,52.922733,-132.410416,52.918366,-132.429783,270754.2502,5869121.359,269429.6218,5868697.862
70,147,127257,71,52.888033,-132.375516,52.887016,-132.3983,272917.9423,5865152.226,271380.3206,5865111.465
71,147,128227,72,51.795666,-130.435833,51.794666,-130.452233,400983.5474,5739287.027,399850.4283,5739198.219
72,147,128228,73,51.763066,-130.32985,51.762683,-130.3456,408225.7974,5735522.892,407138.1355,5735500.234
73,147,128229,74,51.618716,-130.110466,51.6172,-130.128633,423121.0358,5719216.143,421860.7446,5719066.815
74,147,128230,75,51.562983,-130.3105,51.563066,-130.329433,409161.8336,5713247.54,407849.701,5713280.455
75,147,128231,76,51.5257,-130.4313,51.525483,-130.448183,400707.7557,5709258.386,399536.1252,5709257.299
76,147,128232,77,51.52035,-130.371333,51.5205,-130.3874,404856.4581,5708583.764,403742.0892,5708621.457
77,147,128483,78,51.497666,-130.2815,51.49765,-130.298533,411044.6906,5705948.17,409862.3585,5705967.226
78,147,128609,79,51.384066,-130.191183,51.383,-130.208416,417108.4268,5693209.188,415907.3087,5693110.266
79,147,128961,80,51.204033,-130.072883,51.204,-130.090766,425047.8298,5673061.489,423798.4916,5673076.205
80,147,128962,81,51.218616,-130.0256,51.2185,-130.042983,428373.5967,5674636.027,427159.4389,5674640.212
