TRIP_ID,FISHING_EVENT_ID,FE_MAJOR_LEVEL_ID,SLAT,SLON,ELAT,ELON
147,117353,1,48.310666,-125.929516,48.30225,-125.937566
147,117361,2,48.309883,-125.976333,48.30235,-125.985133
147,117363,3,48.20805,-126.105283,48.208633,-126.12105
147,117365,4,48.295766,-126.09655,48.296966,-126.113333
147,117367,5,48.27275,-125.91795,48.267633,-125.932916
147,117369,6,48.347783,-125.99165,48.346566,-126.0115
147,117371,7,48.3554,-126.080633,48.338983,-126.110766
147,117719,8,48.422733,-126.0525,48.424616,-126.069266
147,117780,9,48.42325,-126.20355,48.423116,-126.21925
147,117806,10,48.433666,-126.440083,48.433883,-126.4565
147,117807,11,48.500066,-126.250666,48.502566,-126.267716
147,117884,12,48.642366,-126.198783,48.64235,-126.215883
147,117962,13,48.755066,-126.453366,48.742833,-126.453633
147,118252,14,48.967816,-126.717566,48.9672,-126.7586
147,118946,15,48.810083,-126.487416,48.810083,-126.502683
147,118948,16,48.734483,-126.541083,48.7259,-126.550483
147,118949,17,48.815383,-126.82785,48.8162,-126.84325
147,118950,18,48.86985,-126.812033,48.870316,-126.82945
147,118952,19,48.996366,-126.752966,48.99705,-126.770516
147,118953,20,49.106233,-126.861533,49.1071,-126.881433
147,119082,21,49.18095,-127.0916,49.17485,-127.106883
147,119212,22,49.307916,-127.1257,49.308133,-127.140933
147,119291,23,49.31055,-127.31005,49.311116,-127.327516
147,119620,24,49.361933,-127.306766,49.362916,-127.324733
147,119697,25,49.34475,-127.2223,49.348333,-127.240916
147,119826,26,49.39985,-127.282683,49.390366,-127.28835
147,119827,27,49.3677,-127.245116,49.3753,-127.282383
147,120204,28,49.618916,-127.630783,49.61855,-127.649233
147,120206,29,49.5867,-127.544833,49.5849,-127.562933
147,120207,30,49.601883,-127.491783,49.602383,-127.50795
147,120208,31,49.653783,-127.464733,49.65255,-127.482783
147,120367,32,49.728433,-127.663283,49.719766,-127.67425
147,120443,33,49.7318,-127.774433,49.71995,-127.780983
147,122414,34,52.125283,-127.618633,52.130516,-127.605133
147,122416,35,52.226666,-127.425283,52.2335,-127.41385
147,122417,36,52.271833,-127.263466,52.275883,-127.248033
147,122418,37,52.4472,-127.2667,52.438383,-127.254133
147,122420,38,52.341033,-127.4748,52.3498,-127.466983
147,123061,39,50.170533,-128.199716,50.168733,-128.2192
147,123063,40,50.140266,-128.411383,50.1405,-128.432916
147,123064,41,50.365733,-128.43375,50.366133,-128.450983
147,123065,42,50.47345,-128.5455,50.473933,-128.566016
147,123066,43,50.52625,-128.648466,50.525583,-128.675133
147,123067,44,50.6357,-128.651383,50.635566,-128.67125
147,123068,45,50.675116,-128.872,50.67315,-128.890816
147,123733,46,51.391566,-129.853516,51.390683,-129.867466
147,123734,47,51.12695,-129.482033,51.1248,-129.500616
147,123735,48,51.014816,-129.5855,51.016666,-129.603666
147,123837,49,50.92115,-129.59045,50.920533,-129.608333
147,123838,50,50.92105,-129.511383,50.92255,-129.529983
147,123889,51,50.829283,-129.519233,50.819966,-129.51725
147,125740,52,54.360016,-133.673266,54.358633,-133.692766
147,125741,53,54.338816,-133.795516,54.335883,-133.8138
147,125742,54,54.320383,-133.8476,54.317966,-133.866583
147,125743,55,54.223966,-133.833583,54.223383,-133.852516
147,125744,56,54.148316,-133.7918,54.1491,-133.8104
147,125745,57,54.166783,-133.51835,54.16825,-133.53465
147,126345,58,53.9519,-133.482583,53.95185,-133.505966
147,126346,59,53.955316,-133.775833,53.956416,-133.796616
147,126347,60,53.914116,-133.865516,53.916383,-133.887433
147,126398,61,53.7831,-133.4534,53.781683,-133.472066
147,126399,62,53.75335,-133.4671,53.751716,-133.485683
147,126400,63,53.718416,-133.30495,53.722483,-133.3484
147,127250,64,53.1396,-132.691116,53.14435,-132.7082
147,127251,65,53.071,-132.819983,53.06835,-132.84045
147,127252,66,53.075716,-132.739933,53.073733,-132.76075
147,127253,67,53.1155,-132.6599,53.104066,-132.65965
147,127254,68,53.062266,-132.637983,53.062266,-132.6608
147,127255,69,52.992333,-132.5301,52.992233,-132.552683
147,127256,70,52.922733,-132.410416,52.918366,-132.429783
147,127257,71,52.888033,-132.375516,52.887016,-132.3983
147,128227,72,51.795666,-130.435833,51.794666,-130.452233
147,128228,73,51.763066,-130.32985,51.762683,-130.3456
147,128229,74,51.618716,-130.110466,51.6172,-130.128633
147,128230,75,51.562983,-130.3105,51.563066,-130.329433
147,128231,76,51.5257,-130.4313,51.525483,-130.448183
147,128232,77,51.52035,-130.371333,51.5205,-130.3874
147,128483,78,51.497666,-130.2815,51.49765,-130.298533
147,128609,79,51.384066,-130.191183,51.383,-130.208416
147,128961,80,51.204033,-130.072883,51.204,-130.090766
147,128962,81,51.218616,-130.0256,51.2185,-130.042983
